ID;GL_ITEM;GL_ITEM_NAME;BalanceInSQL;BalanceInPL;Difference;BalanceDate
289;5500;Commission payable;-16526,02;-16526,02;0;2014-01-23 00:00:00.000
290;6000;Wages and salaries;-236060,87;-236060,87;0;2014-01-23 00:00:00.000
291;6100;Social contributions;-38490,39;-38490,39;0;2014-01-23 00:00:00.000
292;6150;Other personnel expenses;-9113,18;-9113,18;0;2014-01-23 00:00:00.000
293;6400;Depreciation of intangible and tangible assets;0;0;0;2014-01-23 00:00:00.000
294;6500;Room  maintenance costs and rental fees;-50005,23;-50005,23;0;2014-01-23 00:00:00.000
295;6600;Office operating costs;-30696,13;-30696,13;0;2014-01-23 00:00:00.000
296;6700;Administrative expenses;-35814,16;-35814,16;0;2014-01-23 00:00:00.000
297;6870;Security expenses;0;0;0;2014-01-23 00:00:00.000
298;6900;Taxes on income and profit;-575678,11;-575678,11;0;2014-01-23 00:00:00.000
299;6950;Other taxes;-8098,41;-8098,41;0;2014-01-23 00:00:00.000
300;7010;Interest income banks;1371656,21;1372009,41;-353,2;2014-01-23 00:00:00.000
301;7100;Interest income non-banks;938761,81;938761,81;0;2014-01-23 00:00:00.000
302;7210;Interest income floating rate securities;3005,98;3005,98;0;2014-01-23 00:00:00.000
303;7300;Interest-related income;151621,82;151621,82;0;2014-01-23 00:00:00.000
304;7500;Commission income documentary business;19142,74;19142,74;0;2014-01-23 00:00:00.000
305;7600;Commission income payments;115961,19;115931,92;29,27;2014-01-23 00:00:00.000
306;7650;Other commission incomes;290,06;290,06;0;2014-01-23 00:00:00.000
307;7700;Other operating income;739,01;739,01;0;2014-01-23 00:00:00.000
308;7850;Foreign exchange income;1412477,72;1412477,72;0;2014-01-23 00:00:00.000
309;7870;Securities income;0;0;0;2014-01-23 00:00:00.000
310;10;Cash box;-732,06;-732,06;0;2014-01-23 00:00:00.000
311;2500;Intangible assets;-135436,02;-135436,02;0;2014-01-23 00:00:00.000
312;2600;Fixed assets;-128381,1;-128381,1;0;2014-01-23 00:00:00.000
313;2850;Accrued income;-69954,13;-69954,13;0;2014-01-23 00:00:00.000
314;4110;Other liabilities;3733401,31;3733401,31;0;2014-01-23 00:00:00.000
315;4200;Deferred income;117808,44;117808,44;0;2014-01-23 00:00:00.000
316;4300;Provisions - taxes;817773,12;817773,12;0;2014-01-23 00:00:00.000
317;4350;Provisions - other;441678,71;441678,71;0;2014-01-23 00:00:00.000
318;5010;Interest payable banks;-1989540,42;-1989540,05;-0,37;2014-01-24 00:00:00.000
319;5100;Interest payable non-banks;-161170,42;-161170,42;0;2014-01-24 00:00:00.000
320;5500;Commission payable;-16517,53;-16517,53;0;2014-01-24 00:00:00.000
321;6000;Wages and salaries;-236060,87;-236060,87;0;2014-01-24 00:00:00.000
322;6100;Social contributions;-38471,03;-38471,03;0;2014-01-24 00:00:00.000
323;6150;Other personnel expenses;-9113,18;-9113,18;0;2014-01-24 00:00:00.000
324;6400;Depreciation of intangible and tangible assets;0;0;0;2014-01-24 00:00:00.000
325;6500;Room  maintenance costs and rental fees;-49998,61;-49998,61;0;2014-01-24 00:00:00.000
326;6600;Office operating costs;-30696,13;-30696,13;0;2014-01-24 00:00:00.000
327;6700;Administrative expenses;-35847,65;-35847,65;0;2014-01-24 00:00:00.000
328;6870;Security expenses;0;0;0;2014-01-24 00:00:00.000
329;6900;Taxes on income and profit;-575678,11;-575678,11;0;2014-01-24 00:00:00.000
330;6950;Other taxes;-8104,09;-8104,09;0;2014-01-24 00:00:00.000
331;7010;Interest income banks;1575817,59;1576170,2;-352,61;2014-01-24 00:00:00.000
332;7100;Interest income non-banks;1044091,08;1044091,08;0;2014-01-24 00:00:00.000
333;7210;Interest income floating rate securities;3398,07;3398,07;0;2014-01-24 00:00:00.000
